Station Information,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1,Station Information.1
Station Name:,Barrie,Belleville,Brampton,Brantford,Burlington,Chatham,Cornwall,Dorset,Grand Bend,Guelph,Hamilton Downtown,Hamilton Mountain,Hamilton West,Kingston,Kitchener,London,Milton,Mississauga,Newmarket,North Bay,Oakville,Oshawa,Ottawa Downtown,Parry Sound,Peterborough,Port Stanley,Sarnia,Sault Ste. Marie,St. Catharines,Sudbury,Thunder Bay,Tiverton,Toronto Downtown,Toronto East,Toronto North,Toronto West,Windsor Downtown,Windsor West
Address:,83 Perry St.,"2 Sidney St., Water Treatment Plant",109 Mclaughlin Rd. S.,324 Grand River Ave.,North Shore Blvd. E./lakeshore Rd.,435 Grand Ave. W.,Bedford St./3rd St. W.,1026 Bellwood Acres Rd.,Point Blake Conservation Area,Exhibition St./clark St. W.,Elgin St./kelly St.,250 Fennell Ave. W.,Main St. W./hwy 403,23 Beechgrove Lane,West Ave./homewood Ave.,42 St. Julien St.,1120 Main St. E.,"3359 Mississauga Rd. N., U Of T Campus",Eagle St. W./mccaffrey Rd.,"Chippewa St. W., Dept. National Defence","Eighth Line/glenashton Dr., Halton Res.","Brittania Ave. W., Ep Taylor Stables",Rideau St./wurtemburg St.,7 Bay St.,10 Hospital Dr.,"43665 Dexter Line, Elgin Water T. Plt",700 Christina St. N.,Sault College,"Argyle Cres., Pump Stn.",155 Elm St.,421 James St. S.,4th Concession/bruce Rd. 23,55 John St.,Kennedy Rd./lawrence Ave. E.,"4905 Dufferin St., Eccc",125 Resources Rd.,467 University Ave. W.,College Ave./south St.
Latitude:,44.382361,44.150528,43.669911,43.138611,43.315111,42.403694,45.017972,45.224278,43.333083,43.551611,43.257778,43.24132,43.257444,44.219722,43.443833,42.97446,43.529650,43.54697,44.044306,46.322500,43.486917,43.95222,45.434333,45.338261,44.301917,42.672083,42.990263,46.533194,43.160056,46.49194,48.379389,44.314472,43.64543,43.747917,43.78047,43.709444,42.315778,42.292889
Longitude:,-79.702306,-77.3955,-79.766589,-80.292639,-79.802639,-82.208306,-74.735222,-78.932944,-81.742889,-80.264167,-79.861667,-79.88941,-79.90775,-76.521111,-80.503806,-81.200858,-79.862449,-79.65869,-79.48325,-79.4494444,-79.702278,-78.9125,-75.676,-80.039269,-78.346222,-81.162889,-82.395341,-84.309917,-79.23475,-81.003105,-89.290167,-81.549722,-79.38908,-79.274056,-79.467372,-79.5435,-83.043667,-83.073139
Station Type:,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Rural,Rural,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Urban,Rural,Urban,Urban,Urban,Urban,Urban,Rural,Urban,Urban,Urban,Urban,Urban,Urban
Height of Air Intake:,5 m,10 m,5 m,5 m,5 m,15 m,4 m,3 m,5 m,4 m,4 m,3 m,3 m,5 m,5 m,5 m,4 m,5 m,5 m,4 m,12 m,3 m,4 m,5 m,10 m,5 m,5 m,8 m,4 m,5 m,15 m,4 m,3 m,4 m,4 m,8 m,4 m,4 m
Elevation ASL:,226 m,75 m,218 m,205 m,78 m,179 m,55 m,318 m,185 m,330 m,90 m,195 m,96 m,84 m,325 m,244 m,206 m,105 m,268 m,212 m,165 m,161 m,68 m,176 m,226 m,212 m,182 m,244 m,105 m,271 m,192 m,226 m,85 m,168 m,186 m,141 m,176 m,180 m
Pollutants Measured:,"O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2, CO, SO2","O3, PM2.5, NO2, SO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2, SO2","O3PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2, SO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2, SO2","O3, PM2.5, NO2, SO2","O3, PM2.5, NO2","O3, PM2.5, NO2, SO2","O3, PM2.5, NO2","O3, PM2.5","O3, PM2.5, NO2","O3, PM2.5, NO2","O3, PM2.5, NO2, SO2","O3, PM2.5, NO2, CO, SO2","O3, PM2.5, NO2, CO, SO2","O3, PM2.5, NO2, SO2"
